#Time Stamp Bertram Road - Level (ft) Bertram Road - Rain Fall (in) Bertram Road – Cumul Rain Fall (in) Bertram Road - Temperature (F) Bertram Road - Temperature (F)
#1 2 3 4 5 6 7
11/27/2014 6:20  0 0  0
11/27/2014 6:25  0 0  0
11/27/2014 6:30 0.99 0 0  0
11/27/2014 6:35  0 0  0
11/27/2014 6:40  0 0  0
11/27/2014 6:45 0.99 0 0  0
11/27/2014 6:50  0 0  0
11/27/2014 6:55  0 0  0
11/27/2014 7:00 0.98 0 0 42 42
11/27/2014 7:05  0 0  0
11/27/2014 7:10  0 0  0
11/27/2014 7:15 0.97 0 0  0
11/27/2014 7:20  0 0  0
11/27/2014 7:25  0 0  0
11/27/2014 7:30 0.98 0 0  0
11/27/2014 7:35  0 0  0
11/27/2014 7:40  0 0  0
11/27/2014 7:45 0.98 0 0  0
11/27/2014 7:50  0 0  0
11/27/2014 7:55  0 0  0
11/27/2014 8:00 0.99 0 0 44 44
11/27/2014 8:05  0 0  0
11/27/2014 8:10  0 0  0
11/27/2014 8:15 0.99 0 0  0
11/27/2014 8:20  0 0  0
11/27/2014 8:25  0 0  0
11/27/2014 8:30 0.98 0 0  0
11/27/2014 8:35  0 0  0
11/27/2014 8:40  0 0  0
11/27/2014 8:45 0.98 0 0  0
11/27/2014 8:50  0 0  0
11/27/2014 8:55  0 0  0
11/27/2014 9:00 0.98 0 0 49 49
11/27/2014 9:05  0 0  0
11/27/2014 9:10  0 0  0
11/27/2014 9:15 0.97 0 0  0
11/27/2014 9:20  0 0  0
11/27/2014 9:25  0 0  0
11/27/2014 9:30 0.97 0 0  0
11/27/2014 9:35  0 0  0
11/27/2014 9:40  0 0  0
11/27/2014 9:45 0.97 0 0  0
11/27/2014 9:50  0 0  0
11/27/2014 9:55  0 0  0
11/27/2014 10:00 0.98 0 0 63 63
11/27/2014 10:05  0 0  0
11/27/2014 10:10  0 0  0
11/27/2014 10:15 0.98 0 0  0
11/27/2014 10:20  0 0  0
11/27/2014 10:25  0 0  0
11/27/2014 10:30 0.99 0 0  0
11/27/2014 10:35  0 0  0
11/27/2014 10:40  0 0  0
11/27/2014 10:45 0.99 0 0  0
11/27/2014 10:50  0 0  0
11/27/2014 10:55  0 0  0
11/27/2014 11:00 0.99 0 0 70 70
11/27/2014 11:05  0 0  0
11/27/2014 11:10  0 0  0
11/27/2014 11:15 0.99 0 0  0
11/27/2014 11:20  0 0  0
11/27/2014 11:25  0 0  0
11/27/2014 11:30 0.98 0 0  0
11/27/2014 11:35  0 0  0
11/27/2014 11:40  0 0  0
11/27/2014 11:45 0.98 0 0  0
11/27/2014 11:50  0 0  0
11/27/2014 11:55  0 0  0
11/27/2014 12:00 0.98 0 0 72 72
11/27/2014 12:05  0 0  0
11/27/2014 12:10  0 0  0
11/27/2014 12:15 0.97 0 0  0
11/27/2014 12:20  0 0  0
11/27/2014 12:25  0 0  0
11/27/2014 12:30 0.98 0 0  0
11/27/2014 12:35  0 0  0
11/27/2014 12:40  0 0  0
11/27/2014 12:45 0.98 0 0  0
